,Average,bmSPY,EW
2001-01-31,-0.00083,,
2001-02-28,-0.00083,-0.09117763002286405,-0.04873122811342182
2001-03-30,-0.00083,-0.0633516089481111,-0.05365037066852359
2001-04-30,-0.00083,0.07770725020684899,0.07896544419223164
2001-05-31,-0.00083,0.006703372885143111,0.0173743198264615
2001-06-29,-0.00083,-0.024341382626957064,-0.03210939983572054
2001-07-31,-0.00083,-0.009840636520602852,-0.005612632151679311
2001-08-31,-0.00083,-0.06260567321570587,-0.04856264437489658
2001-09-28,-0.00083,-0.08075139204866832,-0.09604108615974533
2001-10-31,-0.00083,0.01906760831071508,0.019956926974041514
2001-11-30,-0.00083,0.07670839538971408,0.07385703807946094
2001-12-31,-0.00083,0.008760561274082201,0.01698907041942161
2002-01-31,-0.00083,-0.014595609581341429,-0.012712748468204853
2002-02-28,-0.00083,-0.019281035509449373,0.003937509575771079
2002-03-29,-0.00083,0.03760729648022809,0.04460471806689011
2002-04-30,-0.00083,-0.060630886456453315,-0.04789097498540925
2002-05-31,-0.00083,-0.0073639344262295126,-0.0020720150796826754
2002-06-28,-0.00083,-0.07123275002146956,-0.06497763185502999
2002-07-31,-0.00083,-0.07795496251618139,-0.09158484569294711
2002-08-30,-0.00083,0.00657234984649091,0.009552809035098253
2002-09-30,-0.00083,-0.10868598930153417,-0.09345966242972462
2002-10-31,-0.00083,0.08801932865593631,0.06077887658576161
2002-11-29,-0.00083,0.058858393722192925,0.04834773969147277
2002-12-31,-0.00083,-0.058743628208285825,-0.034759225148113124
2003-01-31,-0.01697882089034386,-0.026197687879604747,-0.026098875807122602
2003-02-28,-0.020507520524942577,-0.015006432491409871,-0.014452533352613383
2003-03-31,0.015500372303346662,0.009713071727934786,0.010423283205974543
2003-04-30,0.017189218176576107,0.08236864080690309,0.06744236315082305
2003-05-30,0.09118159381895671,0.05268253572049897,0.052837665109816134
2003-06-30,0.008988731117824608,0.012761187595205836,0.011437656407289831
2003-07-31,-0.010415013926617943,0.017630615546158745,0.007976681651293283
2003-08-29,0.041130791142698,0.01950039391214009,0.021627685864870416
2003-09-30,-0.010404263445566466,-0.01062025576147163,-0.008233177070010944
2003-10-31,0.026810504061923018,0.056574299992396826,0.04536285587977421
2003-11-28,0.009714958130279727,0.008798785832973666,0.010613905943610724
2003-12-31,0.097286739367334,0.05244249612533802,0.05649722695213757
2004-01-30,0.027602253415100027,0.018355576915967342,0.01061082015885122
2004-02-27,0.033141362682450076,0.01389821688963111,0.021334007501740103
2004-03-31,-0.0310583007809246,-0.015086232619203943,-0.011522891906422427
2004-04-30,-0.013642956445072744,-0.01569903418523777,-0.013235243500622228
2004-05-31,0.02165578237985954,0.013721060504398253,0.011489154184044758
2004-06-30,0.02364369568802172,0.019449842118047123,0.022723072691572265
2004-07-30,-0.03246789513232025,-0.03310043303967636,-0.022470416428348395
2004-08-31,-0.007188511188241555,0.0040474107659893566,0.007095747175929789
2004-09-30,0.021218105526575545,0.010829350300338048,0.01692608190490248
2004-10-29,0.01711580621485086,0.01527787894238486,0.013239952179451541
2004-11-30,0.03200634492349597,0.04046273876782336,0.041793527478120665
2004-12-31,0.04510655225931347,0.03402802916688219,0.024379536163976125
2005-01-31,-0.007883449632819322,-0.02437831680142255,-0.014407718475294684
2005-02-28,0.06075234112988907,0.021045976487742646,0.029592436345127492
2005-03-31,-0.012980903016133308,-0.017705828865967832,-0.011946477817662459
2005-04-29,-0.029702089645514882,-0.018967681115799495,-0.019826608494036547
2005-05-31,0.03912957109547391,0.031820734128706896,0.025345949613989137
2005-06-30,-0.006559066755361035,0.0014193866903045027,0.005614070477461097
2005-07-29,0.05498979548118633,0.03718788340550927,0.03672369589061737
2005-08-31,-0.02324612375015932,-0.009122973797782152,-0.006951225080143219
2005-09-30,0.01368251770339686,0.008094936984867518,0.011879137073817481
2005-10-31,-0.019252678042845306,-0.016670902434935853,-0.021549485801599644
2005-11-30,0.026992931332158486,0.037822381083310486,0.032310272613130984
2005-12-30,0.01133668923887534,0.0003497096350304485,0.006036405341756068
2006-01-31,0.04318436080175173,0.026478595718084197,0.029810289818229065
2006-02-28,-0.006155116352646891,0.0027142363243253254,-0.0017832973435029653
2006-03-31,0.014136436389344184,0.012448602555591659,0.011480575081912503
2006-04-28,0.029549593763819475,0.013423944535371879,0.014801976994275523
2006-05-31,-0.014700587313696778,-0.028779359912528335,-0.020554623835919005
2006-06-30,0.003098871852761406,0.0013530192469568547,0.0061646673775964
2006-07-31,0.004555117656277348,0.006173189687627367,0.0028370349762455007
2006-08-31,0.03283399769855912,0.023792926704254258,0.01947430770318729
2006-09-29,0.02084198596324523,0.025768241030929895,0.015103996840517187
2006-10-31,0.04648645802856677,0.032583496429774206,0.03353767127496095
2006-11-30,0.044241868436300166,0.019020159289107275,0.022389176377684693
2006-12-29,0.007016806227570224,0.014026689673406478,0.008140822738344777
2007-01-31,0.010553459965408386,0.015122613934212437,0.015941171759643602
2007-02-28,-0.011392972461954195,-0.0195611912454543,-0.007088180901766872
2007-03-30,0.032558508114833656,0.011186792782358346,0.01587515931507507
2007-04-30,0.037844443179518565,0.044297583768158066,0.03755040947317754
2007-05-31,0.055040031445351204,0.034893235491256114,0.0327489419491914
2007-06-29,-0.01110400197659784,-0.01661234360214492,-0.014699161205138367
2007-07-31,-0.04359511176075281,-0.031006094301293752,-0.027544455209362384
2007-08-31,0.013976999611453315,0.01498841443230714,0.01286888366895821
2007-09-28,0.032804677905973384,0.03740036787247081,0.037658339188662696
2007-10-31,0.03193305721652,0.015907147527790544,0.01897566237291337
